地區,屋齡,坪數,房,廳,衛,總價(萬),間數
大甲區,27,115.43,4,2,1,220,7
大甲區,26,89.35,2,1,1,200,4
大甲區,27,130.9,3,2,1,300,6
大甲區,25,192.61,1,2,2,490,5
大甲區,25,88.43,2,1,1,245,4
大甲區,41,95.61,2,1,2,265,5
大甲區,25,136.11,3,2,2,380,7
大甲區,24,89.49,2,1,1,250,4
大甲區,25,89.49,2,1,1,250,4
大甲區,28,111.97,3,1,1,315,5
大甲區,24,105.47,1,2,2,300,5
大甲區,28,122.86,3,1,2,350,6
大甲區,25,124.73,3,2,2,360,7
大甲區,25,120.66,3,1,2,350,6
大甲區,27,118.98,3,2,2,350,7
大甲區,25,125.12,3,2,2,372,7
大甲區,25,108.87,3,2,2,325,7
大甲區,25,172.13,4,2,2,520,8
大甲區,25,104.92,3,2,2,320,7
大甲區,27,123.92,4,2,2,380,8
大甲區,25,172.13,4,2,3,528,9
大甲區,26,161.61,3,2,2,500,7
大甲區,25,124.73,3,2,2,388,7
大甲區,25,124.73,3,2,2,390,7
大甲區,24,110.58,3,2,2,350,7
大甲區,24,110.36,3,2,2,360,7
大甲區,25,106.97,3,1,2,350,6
大甲區,25,115.04,3,2,2,378,7
大甲區,25,172.13,3,2,2,570,7
大甲區,25,132.46,3,2,2,450,7
大甲區,28,77.11,2,1,1,263,4
大甲區,24,140.65,4,1,2,480,7
大甲區,26,122.37,3,2,2,418,7
大甲區,26,114.13,3,2,1,398,6
大甲區,36,63.39,2,1,1,225,4
大甲區,27,81.89,3,1,2,292,6
大甲區,27,139.29,3,2,2,500,7
大甲區,25,137.61,4,2,4,500,10
大甲區,26,105.02,3,2,2,390,7
大甲區,0,90.86,1,1,1,340,3
大甲區,27,98.09,3,2,2,370,7
大甲區,27,106.52,3,2,2,403,7
大甲區,25,104.92,3,2,2,400,7
大甲區,0,90.82,1,1,1,350,3
大甲區,27,102.3,3,1,2,398,6
大甲區,27,68.17,2,1,1,268,4
大甲區,0,80.5,2,2,2,320,6
大甲區,0,136.5,3,2,2,545,7
大甲區,26,115.13,3,1,2,460,6
大甲區,1,109.34,3,2,2,438,7
大甲區,0,116.39,3,2,3,468,8
大甲區,0,136.5,3,2,2,550,7
大甲區,0,110.22,2,2,2,445,6
大甲區,1,136.5,3,2,2,555,7
大甲區,0,111.38,2,2,2,453,6
大甲區,1,104.82,3,2,2,430,7
大甲區,0,120.39,3,2,3,495,8
大甲區,1,109.34,3,2,2,450,7
大甲區,25,121.18,3,2,2,500,7
大甲區,0,110.22,2,2,2,455,6
大甲區,0,116.27,3,2,3,480,8
大甲區,0,110.18,2,2,2,455,6
大甲區,1,104.82,3,2,2,433,7
大甲區,0,136.5,3,2,2,565,7
大甲區,26,122.84,4,2,2,510,8
大甲區,1,104.82,3,2,2,437,7
大甲區,4,96.24,2,2,2,405,6
大甲區,0,116.39,3,2,3,490,8
大甲區,0,120.39,3,2,3,508,8
