區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
清水區,31,88.06,10,無,580,0.695643728
西屯區,14,57.62,3,有,500,0.972277795
大雅區,2,173.92,9,無,1580,0.572217869
大里區,2,165.12,7,有,1030,0.833745395
清水區,0,201.25,8,有,800,0.84362623
梧棲區,0,197.05,11,無,978,0.002401685
西區,26,135.24,7,有,708,0.889739823
北區,36,84.58,7,無,480,0.047328833
大里區,5,127.3,5,有,600,0.816463995
北屯區,0,131.44,6,有,735,0.617584777
北屯區,0,142.44,7,有,786,0.088184295
西屯區,0,175.54,7,有,1430,0.965245309
東區,35,25.03,7,無,100,0.134121515
烏日區,23,111.67,7,有,580,0.507265146
霧峰區,24,149.48,7,有,505,0.560147613
烏日區,23,156.53,7,無,570,0.629404481
西屯區,1,233.21,7,有,1720,0.261873784
北屯區,0,182.94,7,有,1088,0.380939853
龍井區,1,169.06,9,無,1120,0.829069667
大里區,30,201.49,5,有,835,0.790039169
烏日區,0,222.33,12,無,2680,0.661897264
北屯區,0,157.67,7,有,1015,0.237339418
東區,25,93.22,6,有,528,0.462945755
北屯區,12,152.74,7,有,945,0.22497961
南屯區,0,207.57,7,有,1762,0.997265374
西屯區,2,88.92,4,有,770,0.365370865
清水區,45,85.35,8,無,470,0.045694786
沙鹿區,0,124.46,5,有,626,0.273713838
南區,16,254.32,9,有,2200,0.179433667
北屯區,0,173.57,7,有,1224,0.762161963
北屯區,1,283.05,11,無,2670,0.300253138
龍井區,1,131.43,5,有,708,0.679180825
西屯區,0,195.66,7,有,1618,0.574898087
北區,39,102.19,6,無,550,0.063407359
大肚區,0,164.4,10,無,860,0.404623833
北屯區,0,248.19,7,有,2210,0.823348706
太平區,40,99.28,7,無,500,0.399026823
大里區,0,86.49,5,無,493,0.72003332
南屯區,26,36.39,3,無,228,0.447529658
潭子區,31,135.82,10,無,675,0.706202072
潭子區,19,212.26,11,無,1235,0.821693265
南屯區,5,354.86,9,有,3350,0.352132727
南區,51,76.29,9,無,530,0.387504985
南屯區,0,132.93,6,有,740,0.536703827
西屯區,23,151.22,7,有,850,0.506013586
中區,1,93.28,6,有,695,0.437987253
北區,25,136.55,15,有,680,0.883966003
大里區,22,135.52,5,有,700,0.18516839
大里區,27,132.54,7,有,490,0.253689946
北屯區,0,119.86,6,有,698,0.20569395
西屯區,27,135.83,6,無,500,0.19706615
潭子區,28,48.52,4,無,280,0.832091288
潭子區,46,107.1,7,無,900,0.743443024
北屯區,5,107.98,5,有,630,0.864107755
中區,24,34.08,3,無,168,0.393881744
西屯區,25,198.32,8,有,1050,0.525493431
西屯區,26,109.23,7,無,540,0.250859227
大甲區,0,122.24,7,有,548,0.983892372
清水區,0,160.08,7,有,595,0.079127039
北屯區,0,227.45,8,有,1512,0.386599127
太平區,0,168.93,10,無,1399,0.465842583
西屯區,0,121.18,5,有,928,0.842637361
北屯區,25,46.42,3,無,245,0.779156727
北屯區,26,115.44,7,無,450,0.160456879
北屯區,0,157.33,7,有,1002,0.499109321
霧峰區,0,49.72,3,無,350,0.220058148
東區,0,158.29,7,有,1011,0.473008296
西屯區,0,216.03,7,有,1868,0.283033898
西屯區,33,80.13,7,無,533,0.166544954
南屯區,21,349.87,12,無,3000,0.611978764
西屯區,35,97.65,10,無,570,0.480512729
西屯區,0,155.29,7,有,1220,0.024982413
東區,39,106.94,10,無,665,0.27077133
大里區,29,180.16,11,無,988,0.361080696
北區,46,83.7,6,無,835,0.887225435
龍井區,25,138.02,8,有,438,0.751498408
西區,31,36.9,3,無,215,0.559872341
西區,0,139.02,6,有,1098,0.734244645
太平區,0,149.57,7,有,792,0.453041344
南區,24,94.31,7,無,465,0.183821592
清水區,0,230.3,8,有,885,0.077917351
南屯區,1,201.18,7,有,1200,0.015502582
太平區,0,149.62,7,有,750,0.374772023
西屯區,25,124.76,6,無,690,0.959509496
北區,4,190.66,7,有,1350,0.987927011
南屯區,6,317.01,9,有,2480,0.594427407
南區,51,100.71,9,無,1200,0.544740078
龍井區,0,191.36,12,無,965,0.589284995
北屯區,35,83.45,7,無,407.5,0.164470192
南屯區,29,444.46,12,有,1900,0.888774465
南區,25,189.79,7,有,818,0.279291695
大里區,0,171.73,9,無,1220,0.254215657
大里區,0,138.25,3,有,758,0.908983863
豐原區,0,100.74,7,有,500,0.98493485
北屯區,0,154.06,7,有,1059,0.722868978
北屯區,0,159.18,7,有,1046,0.76395043
南屯區,6,160.08,7,有,1010,0.071069548
西區,13,149.06,7,有,1330,0.901269774
北屯區,38,44.67,4,無,300,0.897403779
烏日區,0,127.02,5,有,609,0.687913967
清水區,0,76.69,5,無,350,0.574647374
北區,2,89.95,3,有,834,0.146504814
北屯區,1,176.79,7,有,1436,0.341931271
清水區,0,108.36,5,有,398,0.005659517
南屯區,26,125.34,7,有,715,0.724245232
大甲區,0,120.39,8,無,508,0.317681831
西屯區,7,132.29,3,有,1500,0.057534508
西屯區,4,221.37,7,有,1612,0.03640576
北屯區,25,98.39,5,有,490,0.140407628
大里區,1,110.74,4,有,822,0.784285027
太平區,0,144.09,7,有,808,0.160884854
東區,0,118.8,5,有,683,0.097366995
清水區,0,78.8,5,無,403,0.499997325
豐原區,0,101.78,5,有,615,0.947912478
西屯區,0,98.01,5,有,1030,0.441733593
北屯區,33,129.68,7,無,1360,0.550208496
南區,26,87.54,4,無,510,0.226368066
梧棲區,0,178.24,8,無,920,0.653633714
西區,25,45.23,3,有,195,0.635571137
太平區,41,113.62,14,無,1260,0.109402335
大里區,49,66.88,5,無,1906,0.338315958
西屯區,0,119.03,5,有,978,0.190390045
南區,30,93.43,6,無,389.5,0.508654884
西屯區,0,222.44,7,有,1680,0.351506809
豐原區,0,105.79,5,有,523,0.060220265
神岡區,29,184.91,11,無,910,0.214648217
梧棲區,0,198.49,12,有,1230,0.664873779
大肚區,40,18.67,4,無,62.8,0.663829893
太平區,26,95.1,7,無,375,0.661249831
北屯區,5,187.09,8,有,1220,0.361051639
大甲區,0,86.42,6,無,400,0.335498245
外埔區,0,117.91,6,無,460,0.951474046
太平區,4,168.13,7,有,950,0.218538565
外埔區,21,213.3,8,無,630,0.414811499
北屯區,0,169.28,7,有,995,0.945182976
豐原區,24,202.25,11,無,1138,0.281779948
北屯區,6,199.3,13,無,1750,0.912780091
西屯區,1,78.98,3,有,630,0.322402061
西屯區,6,239.88,7,有,1910,0.631215947
大肚區,5,158.39,11,無,1100,0.948516166
南屯區,2,141.86,7,有,1300,0.344251907
大里區,3,118.83,5,有,568,0.911511919
太平區,28,146.52,7,無,610,0.816094301
北屯區,7,316.79,9,有,2750,0.704749737
北屯區,4,179.64,7,有,1000,0.446849644
豐原區,5,100.33,5,有,680,0.224747607
東區,51,107.92,6,無,950,0.590223191
潭子區,26,137.91,6,有,710,0.084653042
北屯區,49,60.24,6,無,350,0.337685305
梧棲區,11,186.66,10,無,730,0.397614283
西屯區,0,125.33,5,有,1165,0.004860816
清水區,3,186.12,6,有,668,0.563678027
太平區,3,160.35,7,有,880,0.762706026
南屯區,0,72.87,4,無,498,0.200349366
太平區,29,290.8,10,無,1850,0.170674522
北屯區,0,147.64,7,有,895,0.930045991
北屯區,0,203.94,8,有,1337,0.327112996
北屯區,30,185.37,8,有,850,0.160453094
清水區,0,145.51,10,無,998,0.092345028
烏日區,27,140.83,7,無,660,0.269688106
北屯區,29,173.67,8,有,745,0.349350909
清水區,25,184.1,9,無,620,0.912171699
大肚區,24,212.53,10,無,850,0.980356539
龍井區,5,82.8,6,無,525,0.838441784
東區,4,198.11,7,有,1188,0.727369786
太平區,26,206.58,9,無,805,0.78724348
南區,26,110.11,6,有,600,0.451050178
西屯區,25,178.13,10,無,2280,0.295663017
南區,42,56.97,3,無,151,0.334467727
南屯區,26,66.29,4,無,450,0.507456218
北屯區,39,256.42,10,無,2560,0.558401589
大雅區,0,173.63,10,無,1375,0.517403298
北屯區,0,164.5,7,有,1080,0.032338436
北屯區,0,185.58,7,有,918,0.230452521
西屯區,12,108.64,5,有,725,0.417095279
沙鹿區,0,103.49,5,有,465,0.521659309
大里區,2,154.07,7,有,864,0.503935644
北屯區,1,372.82,14,有,3700,0.969823304
西屯區,16,259.24,6,無,2188,0.295117177
大里區,21,107.81,6,無,520,0.719548831
南屯區,0,128.16,5,有,770,0.162864713
北屯區,0,201.39,7,有,1168,0.126478458
北屯區,26,371.78,9,有,1800,0.282014052
北區,53,92.31,6,無,866,0.70587346
大甲區,0,120.39,8,無,508,0.687803509
西區,27,29.84,3,無,142,0.644050855
大里區,0,78.02,6,有,1025,0.763259354
西屯區,24,130.35,7,無,545,0.432472531
北屯區,23,176.54,9,有,1100,0.737866069
大肚區,40,126.42,7,無,480,0.678730524
大里區,0,169.89,7,有,922,0.884243458
西屯區,28,175.68,8,有,800,0.795040239
東區,11,179.9,8,無,1400,0.627537205
西屯區,2,274.63,7,有,3538,0.921426013
北屯區,7,175.22,7,有,930,0.502206081
西屯區,2,109.88,4,有,930,0.841719623
